customer_id;first_name;last_name;gender;DOB;job_title_id;job_industry_category_id;wealth_segment_id;deceased_indicator;owns_car;address;postcode_id;property_valuation
1;Laraine;Medendorp;F;1953-10-12;24;4;3;N;Yes;060 Morning Avenue;8;10
2;Eli;Bockman;Male;1980-12-16;7;3;3;N;Yes;6 Meadow Vale Court;143;10
3;Arlin;Dearle;Male;1954-01-20;137;8;3;N;Yes;0 Holy Cross Court;881;9
4;Talbot;;Male;1961-10-03;#Н/Д;5;3;N;No;17979 Del Mar Point;303;4
5;Sheila-kathryn;Calton;Female;1977-05-13;143;7;2;N;Yes;9 Oakridge Court;663;9
6;Curr;Duckhouse;Male;1966-09-16;#Н/Д;9;1;N;Yes;4 Delaware Trail;194;9
7;Fina;Merali;Female;1976-02-23;#Н/Д;3;2;N;Yes;49 Londonderry Lane;384;4
8;Rod;Inder;Male;1962-03-30;170;7;3;N;No;97736 7th Trail;16;12
9;Mala;Lind;Female;1973-03-10;14;1;2;N;Yes;93405 Ludington Park;501;8
10;Fiorenze;Birdall;Female;1988-10-11;54;3;3;N;Yes;44339 Golden Leaf Alley;943;4
11;Uriah;Bisatt;Male;1954-04-30;#Н/Д;8;3;N;No;2 Sutherland Street;751;6
12;Sawyere;Flattman;Male;1994-07-21;192;6;3;N;No;9 Mcbride Trail;413;8
13;Gabriele;Norcross;Male;1955-02-15;116;3;1;N;Yes;9861 New Castle Avenue;290;9
14;Rayshell;Kitteman;Female;1983-03-25;2;3;2;N;No;52 Moland Street;683;4
15;Erroll;Radage;Male;2000-07-13;31;6;3;N;No;82391 Kensington Lane;510;9
16;Harlin;Parr;Male;1977-02-27;36;7;3;N;Yes;092 2nd Alley;124;12
17;Heath;Faraday;Male;1962-03-19;141;7;2;N;Yes;59 Spaight Circle;223;9
18;Marjie;Neasham;Female;1967-07-06;43;7;2;N;No;032 Bartelt Crossing;298;8
19;Sorcha;Keyson;Female;2001-04-15;190;6;1;N;No;18 Jenna Center;384;7
20;Basile;Firth;Male;1980-08-13;47;6;3;N;No;3 Cordelia Plaza;143;10
21;Mile;Cammocke;Male;1980-09-20;139;6;2;N;Yes;28 5th Center;920;3
22;Deeanne;Durtnell;Female;1962-12-10;#Н/Д;5;3;N;No;52 Carey Alley;971;5
23;Olav;Polak;Male;1995-02-10;#Н/Д;7;1;N;Yes;96 Texas Plaza;664;7
24;Kim;Skpsey;Female;1977-12-03;49;1;3;N;Yes;48 Eagan Avenue;988;4
25;Geoff;Assaf;Male;1976-12-02;71;3;3;N;Yes;9 Buell Park;843;7
26;Trixi;Ginnelly;Female;1978-06-10;19;3;3;N;Yes;02663 Buell Parkway;336;11
27;Garvin;Klees;Male;1978-09-25;176;4;3;N;Yes;2294 Pleasure Place;124;12
28;Fee;Zellmer;Male;1973-09-30;54;4;2;N;Yes;2951 Petterle Place;409;9
29;Mona;Sancraft;Female;1968-06-22;52;6;3;N;No;63 Lukken Drive;164;9
30;Darrick;Helleckas;Male;1961-10-18;#Н/Д;5;2;N;Yes;833 Luster Way;798;8
31;Star;Praton;Female;1962-11-24;91;10;1;N;Yes;34 Russell Plaza;852;6
32;Marion;Vanichkin;Female;1995-04-20;32;6;2;N;No;78 Del Sol Hill;346;8
33;Ernst;Hacon;Male;1957-06-25;42;7;2;N;Yes;54 Sage Plaza;968;1
34;Jephthah;Bachmann;U;1843-12-21;32;5;2;N;No;90 Lawn Parkway;976;4
35;Margaretha;Strettle;Female;1963-09-28;30;4;1;N;Yes;38726 Ilene Crossing;197;10
36;Lurette;Stonnell;Female;1977-11-09;64;7;2;N;No;3496 Brown Drive;189;8
37;Laurie;Dwerryhouse;Female;1985-12-22;177;4;1;N;No;7188 Cody Way;689;9
38;Cordi;Merman;Female;1955-10-29;142;3;2;N;No;1 Claremont Park;782;10
39;Hunfredo;Smalley;Male;1979-04-16;72;2;3;N;No;60 Eagan Circle;805;8
40;Tomasine;Jerche;Female;1981-10-27;132;6;2;N;No;89314 Eagle Crest Center;960;2
41;Basilius;Coupe;Male;1976-04-14;166;4;3;N;No;2028 Lakewood Place;319;3
42;Chiquita;Durnall;Female;1977-03-28;99;6;3;N;No;70875 Hudson Point;659;6
43;Indira;Belt;Female;1983-03-01;18;9;3;N;No;543 Killdeer Park;266;4
44;Neron;Verick;Male;1981-10-18;72;2;2;N;Yes;22125 Ramsey Drive;652;9
45;Trace;Woodhead;Male;1975-09-23;144;3;3;N;No;3107 Calypso Terrace;194;9
46;Kaila;Allin;Female;1972-02-26;#Н/Д;7;2;N;Yes;957 Veith Junction;45;10
47;Matthew;Jeaycock;Male;1992-10-22;174;4;2;N;No;4853 Gulseth Avenue;926;5
48;Rebbecca;Casone;Female;1975-08-15;74;7;3;N;Yes;9 Michigan Terrace;134;8
49;Nolly;Ownsworth;Male;1994-01-26;64;7;2;N;No;62 Steensland Road;912;3
50;Whitby;Schapero;Male;1980-10-01;2;6;3;N;Yes;6 Homewood Avenue;130;8
51;Fidelio;Dilke;Male;1959-12-05;77;9;3;N;No;15 Almo Lane;24;10
52;Curran;Bentson;Male;1988-06-22;#Н/Д;3;3;N;Yes;690 Glacier Hill Circle;116;10
53;Agnella;Gocke;Female;1954-04-18;149;3;3;N;No;89787 Village Green Terrace;900;6
54;Loralyn;Wonfor;Femal;1966-07-24;141;8;3;N;Yes;18 Elgar Park;159;9
55;Linc;Jillions;Male;1956-09-24;131;3;2;N;Yes;413 Mayer Street;43;9
56;Reese;Ensor;Male;1996-07-04;158;8;3;N;Yes;39 3rd Drive;20;10
57;Abba;Masedon;M;1988-06-13;109;7;3;N;Yes;44516 Katie Parkway;418;7
58;Dalenna;Pinnock;Female;1967-07-04;129;3;2;N;Yes;41 Schurz Center;402;8
59;Niki;Heathcote;Male;2000-02-08;41;7;1;N;No;68150 Boyd Road;398;9
60;Nadiya;Champerlen;Female;1970-02-04;#Н/Д;6;3;N;No;11474 Westend Hill;740;8
61;Kacey;Rowbottom;Female;1959-11-29;28;8;1;N;No;308 Jana Crossing;143;10
62;Sorcha;Roggers;Female;1979-07-06;#Н/Д;5;3;N;Yes;163 Straubel Trail;203;10
63;Ebony;Zini;Female;1965-07-03;54;9;3;N;Yes;68294 Clarendon Crossing;219;10
64;Gerek;Yve;Male;1978-03-25;32;5;1;N;No;486 Mariners Cove Plaza;502;7
65;Yale;Tanser;Male;1976-04-01;30;3;2;N;Yes;0322 Dryden Court;633;7
66;Anselm;Gawne;Male;2002-03-11;2;1;1;N;No;9 Bonner Road;62;12
67;Vernon;;Male;1960-06-14;95;9;3;N;No;07041 Briar Crest Lane;199;10
68;Dahlia;Eddoes;Female;1974-04-21;30;7;2;N;No;29466 Hanson Pass;878;6
69;Heidi;Milner;Female;1969-06-22;95;7;3;N;No;0212 Forest Run Trail;427;8
70;Foster;Vannoort;Male;1993-02-27;131;3;2;N;No;33055 Menomonie Parkway;857;8
71;Hoyt;Glavias;Male;1985-01-27;51;1;2;N;Yes;4763 Merchant Avenue;409;8
72;Sammy;Cheese;Male;1972-02-13;7;6;2;N;Yes;439 Ridgeway Court;883;9
73;Minette;Worters;Female;1960-05-27;93;7;2;N;Yes;2 Clyde Gallagher Lane;870;5
74;Pansy;Kiddie;Female;1969-06-19;#Н/Д;7;3;N;Yes;97455 Loeprich Lane;143;9
75;Dollie;Sealy;Female;1978-07-15;63;8;3;N;No;9527 Ridgeway Street;66;10
76;Rea;Hasser;Female;1978-01-23;154;9;1;N;Yes;7 Jackson Point;716;1
77;Shermie;Andrin;Male;1989-09-12;106;3;3;N;No;74 Anniversary Junction;273;6
78;Arch;Van der Kruis;Male;1985-03-12;14;1;2;N;No;2083 Spaight Court;793;8
79;Tybi;Silliman;Female;1968-10-02;2;6;3;N;No;2796 Caliangt Circle;184;12
80;Pablo;Small;Male;1978-04-24;78;2;3;N;No;96061 Ludington Place;76;11
81;Bee;Blazewicz;Female;1986-09-04;#Н/Д;4;1;N;No;5037 Merchant Crossing;214;11
82;Gleda;Cokely;Female;1965-06-28;89;8;1;N;No;289 Haas Street;69;11
83;Kerr;Simmell;Male;1967-02-26;83;5;3;N;Yes;4423 Bartelt Parkway;35;12
84;Rich;Mathiasen;Male;1958-02-07;99;7;3;N;Yes;5 Grim Center;60;12
85;Kane;Tixall;Male;1958-05-21;105;7;3;N;No;73042 Roth Crossing;92;11
86;Job;Sleney;Male;1989-03-04;171;4;1;N;Yes;171 Fordem Junction;223;10
87;Fields;Langdon;Male;1974-04-23;19;3;3;N;No;2640 Manley Point;159;9
88;Malynda;Tumber;Female;1966-02-03;28;8;1;N;Yes;3 Hintze Pass;577;10
89;Benedicto;Hoxey;Male;1967-01-22;150;4;3;N;Yes;2 Mcbride Road;521;10
90;Cary;Garron;Male;1984-11-12;136;6;3;N;No;67234 Transport Hill;431;7
91;Dylan;Meaker;Male;1955-02-24;144;3;2;N;Yes;72 Dorton Crossing;577;10
92;Jodee;Judkins;Female;1980-09-11;137;4;3;N;No;6 Heffernan Center;113;11
93;Gordon;Gowar;Male;1976-07-16;47;9;3;N;Yes;6088 Roxbury Hill;420;8
94;Wallache;Simchenko;Male;1974-08-07;186;6;3;N;No;105 Shelley Alley;192;10
95;Nomi;Mallinder;Female;1960-12-25;147;6;2;N;Yes;079 Merry Park;152;9
96;Heath;Olford;Male;1968-08-31;192;6;3;N;No;8722 Summit Alley;55;12
97;Arne;Corain;Male;1979-07-27;76;3;3;N;Yes;9554 Artisan Pass;139;10
98;Allianora;Babalola;Female;1956-03-17;87;4;3;N;No;55850 Butterfield Road;162;9
99;Reggie;Mulliner;Male;1998-06-13;157;3;3;N;No;68 Little Fleur Crossing;43;12
100;Tripp;Steed;Male;1968-05-11;25;3;3;N;Yes;85688 New Castle Crossing;871;10
101;Goran;Kwietek;Male;1975-12-29;38;6;1;N;No;8611 Loomis Lane;146;10
102;Langsdon;Tranfield;Male;1956-11-27;136;6;2;N;No;7909 Pierstorff Crossing;334;9
103;Ethyl;Runham;Female;1997-04-21;42;3;2;N;Yes;01 Muir Parkway;87;12
104;Odille;Panketh;Female;1978-06-06;73;4;3;N;Yes;0410 Division Junction;404;8
105;Maribeth;Pristnor;Female;2001-09-17;137;6;3;N;No;41 Service Lane;203;11
106;Glyn;;Male;1966-07-03;89;4;1;N;Yes;5 Moose Road;793;8
107;Pris;Stallebrass;Female;1990-07-01;38;3;3;N;Yes;7342 Fieldstone Junction;83;12
108;Kayle;Mingaud;Female;1994-03-14;#Н/Д;7;1;N;No;0 David Terrace;655;11
109;Cody;Blabey;Male;1978-12-11;33;7;2;N;Yes;15239 Northwestern Point;902;4
110;Sascha;St. Quintin;Male;2000-07-31;#Н/Д;3;2;N;No;60 Oneill Street;164;9
111;Cele;Evason;Female;1993-08-29;105;7;3;N;No;8194 Sachtjen Drive;767;1
112;Shena;Parren;Female;1975-08-12;34;9;1;N;No;0349 Farmco Terrace;162;8
113;Gage;Nickless;Male;1956-05-06;57;7;3;N;No;185 Pennsylvania Way;894;6
114;Sunny;Swindells;Female;1985-10-23;93;2;2;N;No;432 Longview Circle;645;10
115;Alberik;Mereweather;Male;1981-12-21;2;4;3;N;No;5814 Bunker Hill Street;521;7
116;Scottie;Swiffen;Male;1999-02-05;9;6;2;N;Yes;7 Carberry Crossing;323;2
117;Nance;Suttling;Female;1982-02-23;34;6;3;N;No;53 Talisman Trail;89;9
118;Prentice;Pearmain;Male;1959-11-12;75;7;1;N;No;5 Prairie Rose Road;983;2
119;Willey;Chastanet;Male;1981-12-04;10;7;1;N;Yes;84 Florence Parkway;332;8
120;Sloan;Wagg;Male;1978-09-02;32;3;1;N;Yes;739 Elmside Way;527;8
121;Myles;Pauncefort;Male;1957-10-02;81;6;3;N;No;684 Northport Circle;199;10
122;Colver;Itter;Male;1979-04-19;136;3;3;N;Yes;8 Hagan Hill;931;4
123;Almeta;Kalinsky;Female;1988-12-03;105;3;1;N;No;0 Pearson Crossing;919;1
124;Kath;Cunney;Female;1995-05-03;103;4;1;N;Yes;10918 Merry Way;307;5
125;Darrelle;Antoniewski;Female;1960-03-17;77;8;3;N;No;97 Coolidge Trail;130;9
126;Norman;Cliff;Male;1992-10-15;7;4;3;N;Yes;58 Helena Hill;186;7
127;Merrili;Whitear;Female;1974-12-03;110;3;3;N;No;352 Forster Place;856;3
128;Isidro;Cypler;Male;1977-07-17;61;8;3;N;Yes;12306 Lawn Street;134;8
129;Weidar;Silkstone;Male;1985-07-20;120;3;1;N;Yes;19392 7th Trail;972;1
130;Raddy;Delete;Male;1997-07-18;185;6;3;N;No;1605 Northfield Junction;149;11
131;Jana;Renyard;Female;1964-10-16;7;9;1;N;No;9674 Graceland Junction;654;6
132;Celesta;Willavoys;Female;1963-07-07;159;6;3;N;Yes;638 Thackeray Junction;874;3
133;Eldridge;Fiddeman;Male;1977-06-13;157;3;3;N;Yes;869 Forster Circle;101;10
134;Merna;McCulloch;Female;1997-08-01;32;10;2;N;Yes;0 Golden Leaf Crossing;29;9
135;Rosalia;Sigart;Female;1975-01-18;83;5;3;N;No;215 Lindbergh Trail;918;1
136;Mel;Bennet;Male;1973-05-26;53;6;1;N;Yes;829 Washington Crossing;638;9
137;Vaughn;Artin;Male;1987-11-21;39;8;1;N;No;585 Loomis Court;89;11
138;Onofredo;Franc;Male;1985-04-28;48;3;2;N;Yes;68063 Blue Bill Park Center;510;9
139;Gar;;Male;1964-07-28;40;10;2;N;No;15673 Farmco Point;804;6
140;Morrie;Flaxon;Male;1994-05-20;85;6;3;N;No;22 Oxford Junction;260;3
141;Townsend;Trobe;Male;1954-06-25;93;3;1;N;Yes;7245 Cottonwood Center;243;5
142;Bentley;Fortesquieu;Male;1967-08-07;86;4;2;N;No;20382 Spohn Alley;206;11
143;Kendall;Figg;Male;1957-09-01;40;1;3;N;Yes;12375 Cambridge Pass;55;11
144;Jory;Barrabeale;U;;23;5;3;N;No;03 Granby Parkway;663;8
145;Filippo;Ferrara;Male;1997-07-21;2;3;3;N;No;939 Coleman Pass;932;7
146;Ricoriki;Matlock;Male;1985-04-08;136;6;3;N;No;69914 Bowman Place;274;7
147;Rea;Pattrick;Female;1973-12-06;104;4;3;N;Yes;34457 Springview Street;412;9
